origin,season,color_name,size,application,bag_type,fabric,finishing,fit,foulard_type,outside_type,print,style,top_type,weather,nivel,dress/jumpsuit,grupo
MAINSTREAM,8,blue_dark,L,freetime,,waterproof,padded,straight,,anorak,smooth,casual,,cold,3,False,abrigo
MAINSTREAM,8,blue_dark,M,freetime,,waterproof,padded,straight,,anorak,smooth,casual,,cold,3,False,abrigo
MAINSTREAM,8,blue_dark,S,freetime,,waterproof,padded,straight,,anorak,smooth,casual,,cold,3,False,abrigo
MAINSTREAM,8,blue_dark,XL,freetime,,waterproof,padded,straight,,anorak,smooth,casual,,cold,3,False,abrigo
MAINSTREAM,8,blue_dark,XS,freetime,,waterproof,padded,straight,,anorak,smooth,casual,,cold,3,False,abrigo
MAINSTREAM,8,green_dark,L,freetime,,waterproof,padded,straight,,anorak,smooth,casual,,cold,3,False,abrigo
MAINSTREAM,8,green_dark,M,freetime,,waterproof,padded,straight,,anorak,smooth,casual,,cold,3,False,abrigo
MAINSTREAM,8,green_dark,S,freetime,,waterproof,padded,straight,,anorak,smooth,casual,,cold,3,False,abrigo
MAINSTREAM,8,green_dark,XL,freetime,,waterproof,padded,straight,,anorak,smooth,casual,,cold,3,False,abrigo
MAINSTREAM,8,green_dark,XS,freetime,,waterproof,padded,straight,,anorak,smooth,casual,,cold,3,False,abrigo
MAINSTREAM,8,grey_dark,L,freetime,,waterproof,padded,straight,,anorak,smooth,casual,,cold,3,False,abrigo
MAINSTREAM,8,grey_dark,M,freetime,,waterproof,padded,straight,,anorak,smooth,casual,,cold,3,False,abrigo
MAINSTREAM,8,grey_dark,S,freetime,,waterproof,padded,straight,,anorak,smooth,casual,,cold,3,False,abrigo
MAINSTREAM,8,grey_dark,XL,freetime,,waterproof,padded,straight,,anorak,smooth,casual,,cold,3,False,abrigo
MAINSTREAM,8,grey_dark,XS,freetime,,waterproof,padded,straight,,anorak,smooth,casual,,cold,3,False,abrigo
MAINSTREAM,8,pink,L,freetime,,waterproof,padded,straight,,anorak,smooth,casual,,cold,3,False,abrigo
MAINSTREAM,8,pink,M,freetime,,waterproof,padded,straight,,anorak,smooth,casual,,cold,3,False,abrigo
MAINSTREAM,8,pink,S,freetime,,waterproof,padded,straight,,anorak,smooth,casual,,cold,3,False,abrigo
MAINSTREAM,8,pink,XL,freetime,,waterproof,padded,straight,,anorak,smooth,casual,,cold,3,False,abrigo
MAINSTREAM,8,pink,XS,freetime,,waterproof,padded,straight,,anorak,smooth,casual,,cold,3,False,abrigo
MAINSTREAM,8,black,XL,freetime,,tech_fabric,touchable,straight,,feathers,smooth,casual,,cold,3,False,abrigo
MAINSTREAM,8,black,XXXL,freetime,,tech_fabric,touchable,straight,,feathers,smooth,casual,,cold,3,False,abrigo
MAINSTREAM,8,blue_dark,XL,freetime,,tech_fabric,touchable,straight,,feathers,smooth,casual,,cold,3,False,abrigo
MAINSTREAM,8,blue_dark,XXXL,freetime,,tech_fabric,touchable,straight,,feathers,smooth,casual,,cold,3,False,abrigo
MAINSTREAM,8,black,L,freetime,,baize,,straight,,coat,smooth,boho,,cold,3,False,abrigo
